Intials,Date,Course_ID,Time(min),Summary,,
ZM,1/4/24,DS-160-01,95,Class- Class intro   HW- Checking out podcasts,,
ZM,1/4/24,MATH-116-01,130,Class- Class intro +1.5   HW- Linear equations,,
ZM,1/4/24,BU-101-01,25,HW- filling out intro form,,
ZM,1/9/24,DS-160-01,75,Class- Excel additions and types of data,,
ZM,1/9/24,MATH-116-01,115,Class- 1.5 review and 2.1   HW- 1.5 study,,
ZM,1/9/24,PHIL-101-09,30,Class- Class intro,,
ZM,1/10/24,MATH-116-01,40,HW- 1.5 studying,,
ZM,1/11/24,DS-160-01,60,Class- Group work with analysis,,
ZM,1/11/24,MATH-116-01,75,Class- 2.3,,
ZM,1/11/24,PHIL-101-09,105,Class- Going over reading HW- Reading,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,